50:0f:80:fd:7f:b0
"0.0,0.0"
"0.0,0.0"
"101.99,101.99"
"71.91,71.91"
"0.0,0.0"
"65.35,65.35"
"121.0,121.0"
"0.0,0.0"
50:0f:80:fd:7f:50
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"57.4,57.4"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"85.57,85.57"
"132.31,132.31"
"129.07,129.07"
"119.9,119.9"
"0.0,0.0"
"0.0,0.0"
"129.36,129.36"
"183.6,183.6"
"0.0,0.0"
"138.61,138.61"
50:0f:80:c4:5f:91
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"82.76,82.76"
"100.24,100.24"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:d8:ee:02
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"85.47,85.47"
"105.11,105.11"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:8c:7c:d0
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"33.84,33.84"
"49.83,49.83"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:fd:7f:52
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"56.06,56.06"
"0.0,0.0"
"36.52,36.52"
"0.0,0.0"
"18.54,18.54"
"0.0,0.0"
"81.67,81.67"
"131.63,131.63"
"128.08,128.08"
"122.66,122.66"
"0.0,0.0"
"0.0,0.0"
"129.57,129.57"
"184.35,184.35"
"0.0,0.0"
"146.52,146.52"
38:90:a5:9d:1a:e2
"109.28,109.28"
"89.62,89.62"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
